season_id,episode_id,scene_id,utterance_id,speaker,emotion,tokens,sentences
trn,e02,c02,u001,Ross Geller,scared,"[['No', ',', 'it', ""'s"", 'good', ',', 'it', 'is', 'good', ',', 'it', ""'s"", 'just', 'that', '-', 'mm', '-', 'does', ""n't"", 'she', 'seem', 'a', 'little', 'angry', '?']]","No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
trn,e02,c02,u002,Marsha,sad,"[['Well', ',', 'she', 'has', 'issues', '.']]","Well, she has issues."
trn,e02,c02,u003,Ross Geller,scared,"[['Does', 'she', '.']]",Does she.
trn,e02,c02,u004,Marsha,angry,"[['He', ""'s"", 'out', 'banging', 'other', 'women', 'over', 'the', 'head', 'with', 'a', 'club', ',', 'while', 'she', 'sits', 'at', 'home', 'trying', 'to', 'get', 'the', 'mastodon', 'smell', 'out', 'of', 'the', 'carpet', '!']]","He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
trn,e02,c02,u005,Ross Geller,neutral,"[['Marsha', ',', 'these', 'are', 'cave', 'people', '.'], ['Okay', '?'], ['They', 'have', 'issues', 'like', ""'"", 'Gee', ',', 'that', 'glacier', ""'s"", 'getting', 'kinda', 'close', '.'], [""'"", 'See', '?']]","Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
trn,e02,c02,u006,Marsha,angry,"[['Speaking', 'of', 'issues', ',', 'is', ""n't"", 'that', 'your', 'ex-wife', '?']]","Speaking of issues, isn't that your ex-wife?"
trn,e02,c02,u008,Ross Geller,scared,"[['No', '.'], ['No', '.']]",No. No.
trn,e02,c02,u009,Marsha,joy,"[['Yes', ',', 'it', 'is', '.'], ['Carol', '!'], ['Hi', '!']]","Yes, it is. Carol! Hi!"
trn,e02,c02,u010,Ross Geller,scared,"[['Okay', ',', 'okay', ',', 'yes', ',', 'it', 'is', '.'], ['How', 'about', 'I', ""'ll"", ',', 'uh', ',', 'catch', 'up', 'with', 'you', 'in', 'the', 'Ice', 'Age', '.']]","Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
trn,e02,c02,u012,Ross Geller,neutral,"[['Hi', '.']]",Hi.
trn,e02,c02,u013,Carol Willick,neutral,"[['So', '.']]",So.
trn,e02,c02,u014,Ross Geller,scared,"[['You', 'look', 'great', '.'], ['I', ',', 'uh', '...'], ['I', 'hate', 'that', '.']]","You look great. I, uh... I hate that."
trn,e02,c02,u015,Carol Willick,joy,"[['Sorry', '.'], ['You', 'look', 'good', 'too', '.']]",Sorry. You look good too.
trn,e02,c02,u016,Ross Geller,joy,"[['Ah', ',', 'well', ',', 'in', 'here', ',', 'anyone', 'who', '...'], ['stands', 'erect', '...'], ['So', 'what', ""'s"", 'new', '?'], ['Still', ',', 'uh', '...']]","Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
trn,e02,c02,u017,Carol Willick,neutral,"[['A', 'lesbian', '?']]",A lesbian?
trn,e02,c02,u018,Ross Geller,peaceful,"[['Well', '...'], ['you', 'never', 'know', '.'], ['How', ""'s"", ',', 'um', '..'], ['how', ""'s"", 'the', 'family', '?']]","Well... you never know. How's, um.. how's the family?"
trn,e02,c02,u019,Carol Willick,angry,"[['Marty', ""'s"", 'still', 'totally', 'paranoid', '.'], ['Oh', ',', 'and', ',', 'uh', '-']]","Marty's still totally paranoid. Oh, and, uh-"
trn,e02,c02,u020,Ross Geller,scared,"[['Why', '-', 'why', 'are', 'you', 'here', ',', 'Carol', '?']]","Why- why are you here, Carol?"
trn,e02,c02,u021,Carol Willick,neutral,"[['I', ""'m"", 'pregnant', '.']]",I'm pregnant.
trn,e02,c02,u022,Ross Geller,scared,"[['Pregnant', '?!']]",Pregnant?!
trn,e02,c06,u001,Ross Geller,neutral,"[['Sorry', 'I', ""'m"", 'late', ',', 'I', 'was', 'stuck', 'at', 'work', '.'], ['There', 'was', 'this', 'big', 'dinosaur', '..'], ['thing', '..'], ['anyway', '.']]","Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
trn,e02,c06,u003,Susan Bunch,neutral,"[['Hi', '.']]",Hi.
trn,e02,c06,u004,Carol Willick,neutral,"[['Ross', ',', 'you', 'remember', 'Susan', '.']]","Ross, you remember Susan."
trn,e02,c06,u005,Ross Geller,angry,"[['How', 'could', 'I', 'forget', '?']]",How could I forget?
trn,e02,c06,u006,Susan Bunch,neutral,"[['Ross', '.']]",Ross.
trn,e02,c06,u007,Ross Geller,neutral,"[['Hello', ',', 'Susan', '.'], ['Good', 'shake', '.'], ['Good', 'shake', '.'], ['So', ',', 'uh', ',', 'we', ""'re"", 'just', 'waiting', 'for', '...?']]","Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?"
trn,e02,c06,u008,Carol Willick,neutral,"[['Dr.', 'Oberman', '.']]",Dr. Oberman.
trn,e02,c06,u009,Ross Geller,neutral,"[['..'], ['Dr.', 'Oberman', '.'], ['Okay', '.'], ['And', 'is', 'he', '-']]",..Dr. Oberman. Okay. And is he-
trn,e02,c06,u010,Susan Bunch,neutral,"[['She', '.']]",She.
trn,e02,c06,u011,Ross Geller,neutral,"[['-', 'she', ',', 'of', 'course', ',', 'she', '-', 'uh', '-', 'familiar', 'with', 'our', '..'], ['special', 'situation', '?']]","-she, of course, she- uh- familiar with our.. special situation?"
trn,e02,c06,u012,Carol Willick,neutral,"[['Yes', ',', 'and', 'she', ""'s"", 'very', 'supportive', '.']]","Yes, and she's very supportive."
trn,e02,c06,u013,Ross Geller,neutral,"[['Okay', ',', 'that', ""'s"", 'great', '.'], ['No', ',', 'I', ""'m"", '-', 'Oh', '.']]","Okay, that's great. No, I'm- Oh."
trn,e02,c06,u014,Carol Willick,neutral,"[['Thanks', '.']]",Thanks.
trn,e02,c06,u015,Ross Geller,joy,"[['Quack', ',', 'quack', '..']]","Quack, quack.."
trn,e02,c06,u016,Carol Willick,scared,"[['Ross', '?'], ['That', 'opens', 'my', 'cervix', '.']]",Ross? That opens my cervix.
trn,e02,c07,u001,Rachel Green,neutral,"[['Barry', '?']]",Barry?
trn,e02,c07,u002,Barry Farber,neutral,"[[""C'mon"", 'in.']]",C'mon in.
trn,e02,c07,u003,Rachel Green,scared,"[['Are', 'you', 'sure', '?']]",Are you sure?
trn,e02,c07,u004,Barry Farber,neutral,"[['Yeah', '!'], ['It', ""'s"", 'fine', ',', 'it', ""'s"", 'fine', '.'], ['Robbie', ""'s"", 'gon', 'na', 'be', 'here', 'for', 'hours', '.']]","Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
trn,e02,c07,u005,Robbie,scared,"[['Huh', '?!']]",Huh?!
trn,e02,c07,u006,Barry Farber,peaceful,"[['So', ',', 'how', 'ya', 'doin', '?']]","So, how ya doin?"
trn,e02,c07,u007,Rachel Green,sad,"[['I', ""'m"", '-', 'uh', '-', 'I', ""'m"", 'okay', '...'], ['You', 'look', 'great', '!']]",I'm- uh- I'm okay... You look great!
trn,e02,c07,u008,Barry Farber,neutral,"[['Yeah', ',', 'well', '..']]","Yeah, well.."
trn,e02,c07,u009,Bernice,neutral,"[['Dr.', 'Farber', ',', 'Jason', 'Greenstein', ""'s"", 'gagging', '.']]","Dr. Farber, Jason Greenstein's gagging."
trn,e02,c07,u010,Barry Farber,neutral,"[['Be', 'right', 'there', '.'], ['Be', 'back', 'in', 'a', 'sec', '.']]",Be right there. Be back in a sec.
trn,e02,c07,u012,Rachel Green,sad,"[['I', 'dumped', 'him', '.']]",I dumped him.
trn,e02,c07,u013,Robbie,neutral,"[['Okay', '.']]",Okay.
trn,e02,c08,u001,Ross Geller,scared,"[['So', ',', 'um', '-', 'so', 'how', ""'s"", 'this', ',', 'uh', ',', 'how', ""'s"", 'this', 'gon', 'na', 'work', '?'], [""Y'know"", ',', 'with', 'us', '?'], [""Y'know"", ',', 'when', ',', 'like', ',', 'important', 'decisions', 'have', 'to', 'be', 'made', '?']]","So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
trn,e02,c08,u002,Carol Willick,angry,"[['Give', 'me', 'a', ""'"", 'for', 'instance', ""'"", '.']]",Give me a 'for instance'.
trn,e02,c08,u003,Ross Geller,scared,"[['Well', ',', 'uh', ',', 'uh', ',', 'I', 'do', ""n't"", 'know', ',', 'okay', ',', 'okay', ',', 'how', 'about', 'with', 'the', ',', 'uh', ',', 'with', 'the', 'baby', ""'s"", 'name', '?']]","Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
trn,e02,c08,u004,Carol Willick,powerful,"[['Marlon', '-']]",Marlon-
trn,e02,c08,u005,Ross Geller,angry,"[['Marlon', '?!']]",Marlon?!
trn,e02,c08,u006,Carol Willick,powerful,"[['-', 'if', 'it', ""'s"", 'a', 'boy', ',', 'Minnie', 'if', 'it', ""'s"", 'a', 'girl', '.']]","-if it's a boy, Minnie if it's a girl."
trn,e02,c08,u007,Ross Geller,angry,"[['...'], ['As', 'in', 'Mouse', '?']]",...As in Mouse?
trn,e02,c08,u008,Carol Willick,neutral,"[['As', 'in', 'my', 'grandmother', '.']]",As in my grandmother.
trn,e02,c08,u009,Ross Geller,scared,"[['Still', ',', 'you', '-', 'you', 'say', 'Minnie', ',', 'you', 'hear', 'Mouse', '.'], ['Um', ',', 'how', 'about', ',', 'um', '..'], ['how', 'about', 'Julia', '?']]","Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
trn,e02,c08,u010,Carol Willick,neutral,"[['Julia', '..']]",Julia..
trn,e02,c08,u011,Susan Bunch,powerful,"[['We', 'agreed', 'on', 'Minnie', '.']]",We agreed on Minnie.
trn,e02,c08,u012,Ross Geller,powerful,"[[""'"", ""S'funny"", ',', 'um', ',', 'uh', ',', 'we', 'agreed', 'we', ""'d"", 'spend', 'the', 'rest', 'of', 'our', 'lives', 'together', '.'], ['Things', 'change', ',', 'roll', 'with', 'the', 'punches', '.'], ['I', 'believe', 'Julia', ""'s"", 'on', 'the', 'table', '..?']]","'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
trn,e02,c09,u001,Barry Farber,neutral,"[['Sorry', 'about', 'that', '.'], ['So', '.'], ['What', 'have', 'you', 'been', 'up', 'to', '?']]",Sorry about that. So. What have you been up to?
trn,e02,c09,u002,Rachel Green,scared,"[['Oh', ',', 'not', 'much', '.'], ['I', '-', 'I', 'got', 'a', 'job', '.']]","Oh, not much. I-I got a job."
trn,e02,c09,u003,Barry Farber,joy,"[['Oh', ',', 'that', ""'s"", 'great', '.']]","Oh, that's great."
trn,e02,c09,u004,Rachel Green,scared,"[['Why', 'are', '-', 'why', 'are', 'you', 'so', 'tanned', '?']]",Why are- why are you so tanned?
trn,e02,c09,u005,Barry Farber,scared,"[['Oh', ',', 'I', ',', 'uh', '-', 'I', 'went', 'to', 'Aruba', '.']]","Oh, I, uh- I went to Aruba."
trn,e02,c09,u006,Rachel Green,angry,"[['Oh', 'no', '.'], ['You', 'went', 'on', 'our', 'honeymoon', 'alone', '?']]",Oh no. You went on our honeymoon alone?
trn,e02,c09,u007,Barry Farber,neutral,"[['No', '.'], ['I', 'went', 'with', ',', 'uh', '..'], ['Now', ',', 'this', 'may', 'hurt', '.']]","No. I went with, uh.. Now, this may hurt."
trn,e02,c09,u008,Robbie,neutral,"[['Me', '?!']]",Me?!
trn,e02,c09,u009,Barry Farber,scared,"[['No', '!'], ['I', 'went', 'with', 'Mindy', '.']]",No! I went with Mindy.
trn,e02,c09,u010,Rachel Green,angry,"[['Mindy', '?!'], ['My', 'maid', 'of', 'honour', ',', 'Mindy', '?!']]","Mindy?! My maid of honour, Mindy?!"
trn,e02,c09,u011,Barry Farber,scared,"[['Yeah', ',', 'well', ',', 'uh', ',', 'we', ""'re"", 'kind', 'of', 'a', 'thing', 'now', '.']]","Yeah, well, uh, we're kind of a thing now."
trn,e02,c09,u012,Rachel Green,angry,"[['Oh', '!'], ['Well', ',', 'um', '..'], ['You', ""'ve"", 'got', 'plugs', '!']]","Oh! Well, um.. You've got plugs!"
trn,e02,c09,u013,Barry Farber,angry,"[['Careful', '!'], ['They', 'have', ""n't"", 'quite', 'taken', 'yet', '.']]",Careful! They haven't quite taken yet.
trn,e02,c09,u014,Rachel Green,angry,"[['And', 'you', ""'ve"", 'got', 'lenses', '!'], ['But', 'you', 'hate', 'sticking', 'your', 'finger', 'in', 'your', 'eye', '!']]",And you've got lenses! But you hate sticking your finger in your eye!
trn,e02,c09,u015,Barry Farber,peaceful,"[['Not', 'for', 'her', '.'], ['Listen', ',', 'I', 'really', 'wanted', 'to', 'thank', 'you', '.']]","Not for her. Listen, I really wanted to thank you."
trn,e02,c09,u016,Rachel Green,angry,"[['Okay', '..']]",Okay..
trn,e02,c09,u017,Barry Farber,neutral,"[['See', ',', 'about', 'a', 'month', 'ago', ',', 'I', 'wanted', 'to', 'hurt', 'you', '.'], ['More', 'than', 'I', ""'ve"", 'ever', 'wanted', 'to', 'hurt', 'anyone', 'in', 'my', 'life', '.'], ['And', 'I', ""'m"", 'an', 'orthodontist', '.']]","See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
trn,e02,c09,u018,Rachel Green,scared,"[['Wow', '.']]",Wow.
trn,e02,c09,u019,Barry Farber,joy,"[['You', 'know', ',', 'you', 'were', 'right', '?'], ['I', 'mean', ',', 'I', 'thought', 'we', 'were', 'happy', '.'], ['We', 'were', ""n't"", 'happy', '.'], ['But', 'with', 'Mindy', ',', 'now', 'I', ""'m"", 'happy', '.'], ['Spit', '.']]","You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
trn,e02,c09,u020,Rachel Green,scared,"[['What', '?']]",What?
trn,e02,c09,u021,Robbie,sad,"[['Me', '.']]",Me.
trn,e02,c09,u022,Rachel Green,sad,"[['Anyway', ',', 'um', ',', 'I', 'guess', 'this', 'belongs', 'to', 'you', '.'], ['And', 'thank', 'you', 'for', 'giving', 'it', 'to', 'me', '.']]","Anyway, um, I guess this belongs to you. And thank you for giving it to me."
trn,e02,c09,u023,Barry Farber,sad,"[['Well', ',', 'thank', 'you', 'for', 'giving', 'it', 'back', '.']]","Well, thank you for giving it back."
trn,e02,c09,u025,Robbie,scared,"[['Hello', '?!']]",Hello?!
trn,e02,c10,u001,Susan Bunch,angry,"[['Oh', ',', 'please', '!'], ['What', ""'s"", 'wrong', 'with', 'Helen', '?']]","Oh, please! What's wrong with Helen?"
trn,e02,c10,u002,Ross Geller,angry,"[['Helen', 'Geller', '?'], ['I', 'do', ""n't"", 'think', 'so', '.']]",Helen Geller? I don't think so.
trn,e02,c10,u003,Carol Willick,powerful,"[['Hello', '?'], ['It', ""'s"", 'not', 'gon', 'na', 'be', 'Helen', 'Geller', '.']]",Hello? It's not gonna be Helen Geller.
trn,e02,c10,u004,Ross Geller,powerful,"[['Thank', 'you', '!']]",Thank you!
trn,e02,c10,u005,Carol Willick,powerful,"[['No', ',', 'I', 'mean', 'it', ""'s"", 'not', 'Geller', '.']]","No, I mean it's not Geller."
trn,e02,c10,u006,Ross Geller,angry,"[['What', ',', 'it', ""'s"", 'gon', 'na', 'be', 'Helen', 'Willick', '?']]","What, it's gonna be Helen Willick?"
trn,e02,c10,u007,Carol Willick,neutral,"[['No', ',', 'actually', ',', 'um', ',', 'we', 'talked', 'about', 'Helen', 'Willick', '-', 'Bunch', '.']]","No, actually, um, we talked about Helen Willick-Bunch."
trn,e02,c10,u008,Ross Geller,angry,"[['Well', ',', 'wait', 'a', 'minute', ',', 'wha', '-', 'why', 'is', 'she', 'in', 'the', 'title', '?']]","Well, wait a minute, wha- why is she in the title?"
trn,e02,c10,u009,Susan Bunch,powerful,"[['It', ""'s"", 'my', 'baby', 'too', '.']]",It's my baby too.
trn,e02,c10,u010,Ross Geller,angry,"[['Oh', ',', ""'"", ""s'funny"", ',', 'really', '?'], ['Um', ',', 'I', 'do', ""n't"", 'remember', 'you', 'making', 'any', 'sperm', '.']]","Oh, 's'funny, really? Um, I don't remember you making any sperm."
trn,e02,c10,u011,Susan Bunch,angry,"[['Yeah', ',', 'and', 'we', 'all', 'know', 'what', 'a', 'challenge', 'that', 'is', '!']]","Yeah, and we all know what a challenge that is!"
trn,e02,c10,u012,Carol Willick,angry,"[['All', 'right', ',', 'you', 'two', ',', 'stop', 'it', '!']]","All right, you two, stop it!"
trn,e02,c10,u013,Ross Geller,angry,"[['No', 'no', 'no', ',', 'she', 'gets', 'a', 'credit', ',', 'hey', ',', 'I', ""'m"", 'in', 'there', 'too', '.']]","No no no, she gets a credit, hey, I'm in there too."
trn,e02,c10,u014,Carol Willick,neutral,"[['Ross', '.'], ['You', ""'re"", 'not', 'actually', 'suggesting', 'Helen', 'Willick', '-', 'Bunch', '-', 'Geller', '?'], [""'"", 'Cause', 'I', 'think', 'that', 'borders', 'on', 'child', 'abuse', '.']]",Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
trn,e02,c10,u015,Ross Geller,powerful,"[['Of', 'course', 'not', ',', 'I', ""'m"", '...'], ['suggesting', 'Geller', '-', 'Willick', '-', 'Bunch', '.']]","Of course not, I'm... suggesting Geller-Willick-Bunch."
trn,e02,c10,u016,Susan Bunch,angry,"[['Oh', ',', 'no', ',', 'nonononono', ',', 'you', 'see', 'what', 'he', ""'s"", 'doing', '?'], ['He', 'knows', 'no', '-', 'one', ""'s"", 'gon', 'na', 'say', 'all', 'those', 'names', ',', 'so', 'they', ""'ll"", 'wind', 'up', 'calling', 'her', 'Geller', ',', 'then', 'he', 'gets', 'his', 'way', '!']]","Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!"
trn,e02,c10,u017,Ross Geller,angry,"[['My', 'way', '?!'], ['You', '-', 'you', 'think', 'this', 'is', 'my', 'way', '?'], ['Believe', 'me', ',', 'of', 'all', 'the', 'ways', 'I', 'ever', 'imagined', 'this', 'moment', 'in', 'my', 'life', 'being', ',', 'this', 'is', 'not', 'my', 'way', '-', ""y'know"", 'what', '?'], ['Uh', ',', 'um', ',', 'this', 'is', 'too', 'hard', '.'], ['I', ""'m"", 'not', ',', 'I', 'ca', ""n't"", 'do', '-']]","My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-"
trn,e02,c10,u018,Dr. Oberman,neutral,"[['Knock', 'knock', '!'], ['How', 'are', 'we', 'today', '?'], ['Any', 'nausea', '?']]",Knock knock!How are we today? Any nausea?
trn,e02,c10,u019,#ALL#,neutral,"[['Yeah', '.'], ['Yeah', '.'], ['A', 'little', '.']]",Yeah. Yeah. A little.
trn,e02,c10,u020,Dr. Oberman,neutral,"[['Well', ',', 'I', 'was', 'just', 'wondering', 'about', 'the', 'mother', '-', 'to', '-', 'be', ',', 'but', '..'], ['thanks', 'for', 'sharing', '.'], ['Uh', ',', 'lie', 'back', '..']]","Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back.."
trn,e02,c10,u021,Ross Geller,sad,"[['You', '-', 'uh', '-', ""y'know"", 'what', ',', 'I', ""'m"", 'gon', 'na', 'go', '.'], ['I', 'do', ""n't"", '-', 'I', 'do', ""n't"", 'think', 'I', 'can', 'be', 'involved', 'in', 'this', 'particular', 'thing', 'right', 'now', '.']]","You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now."
trn,e02,c10,u023,Ross Geller,joy,"[['Oh', 'my', 'God', '.']]",Oh my God.
trn,e02,c10,u024,Susan Bunch,joy,"[['Look', 'at', 'that', '.']]",Look at that.
trn,e02,c10,u025,Carol Willick,joy,"[['I', 'know', '.']]",I know.
trn,e02,c11,u001,Ross Geller,joy,"[['Well', '?'], ['Is', ""n't"", 'that', 'amazing', '?']]",Well? Isn't that amazing?
trn,e02,c11,u002,Joey Tribbiani,neutral,"[['What', 'are', 'we', 'supposed', 'to', 'be', 'seeing', 'here', '?']]",What are we supposed to be seeing here?
trn,e02,c11,u003,Chandler Bing,joy,"[['I', 'du', 'n', 'no', ',', 'but', '..'], ['I', 'think', 'it', ""'s"", 'about', 'to', 'attack', 'the', 'Enterprise', '.']]","I dunno, but.. I think it's about to attack the Enterprise."
trn,e02,c11,u004,Phoebe Buffay,joy,"[['You', 'know', ',', 'if', 'you', 'tilt', 'your', 'head', 'to', 'the', 'left', ',', 'and', 'relax', 'your', 'eyes', ',', 'it', 'kinda', 'looks', 'like', 'an', 'old', 'potato', '.']]","You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato."
trn,e02,c11,u005,Ross Geller,angry,"[['Then', 'do', ""n't"", 'do', 'that', ',', 'alright', '?']]","Then don't do that, alright?"
trn,e02,c11,u006,Phoebe Buffay,neutral,"[['Okay', '!']]",Okay!
trn,e02,c11,u007,Ross Geller,neutral,"[['Monica', '.'], ['Whaddya', 'think', '?']]",Monica. Whaddya think?
trn,e02,c11,u008,Monica Geller,sad,"[['Mm-hmm', '.']]",Mm-hmm.
trn,e02,c11,u009,Ross Geller,neutral,"[['Wh', '-', 'are', 'you', 'welling', 'up', '?']]",Wh- are you welling up?
trn,e02,c11,u010,Monica Geller,neutral,"[['No', '.']]",No.
trn,e02,c11,u011,Ross Geller,powerful,"[['You', 'are', ',', 'you', ""'re"", 'welling', 'up', '.']]","You are, you're welling up."
trn,e02,c11,u012,Monica Geller,angry,"[['Am', 'not', '!']]",Am not!
trn,e02,c11,u013,Ross Geller,joy,"[['You', ""'re"", 'gon', 'na', 'be', 'an', 'aunt', '.']]",You're gonna be an aunt.
trn,e02,c11,u014,Monica Geller,joy,"[['Oh', 'shut', 'up', '!']]",Oh shut up!
trn,e02,c11,u015,Rachel Green,angry,"[['Hi', ',', 'Mindy', '.'], ['Hi', ',', 'it', '-', 'it', ""'s"", 'Rachel', '.'], ['Yeah', ',', 'I', ""'m"", 'fine', '.'], ['I', '-', 'I', 'saw', 'Barry', 'today', '.'], ['Oh', ',', 'yeah', ',', 'yeah', 'he', '-', 'he', 'told', 'me', '.'], ['No', ',', 'no', ',', 'it', ""'s"", 'okay', '.'], ['I', 'hope', 'you', 'two', 'are', 'very', 'happy', ',', 'I', 'really', 'do', '.'], ['Oh', ',', 'oh', ',', 'and', 'Mind', ',', ""y'know"", ',', 'if', '-', 'if', 'everything', 'works', 'out', ',', 'and', 'you', 'guys', 'end', 'up', 'getting', 'married', 'and', 'having', 'kids', '-', 'and', 'everything', '-', 'I', 'just', 'hope', 'they', 'have', 'his', 'old', 'hairline', 'and', 'your', 'old', 'nose', '.'], ['Okay', ',', 'I', 'know', 'it', 'was', 'a', 'cheap', 'shot', ',', 'but', 'I', 'feel', 'so', 'much', 'better', 'now', '.']]","Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now."
trn,e03,c01,u001,Phoebe Buffay,joy,"[['Hi', 'guys', '!']]",Hi guys!
trn,e03,c01,u002,#ALL#,joy,"[['Hey', ',', 'Pheebs', '!'], ['Hi', '!']]","Hey, Pheebs! Hi!"
trn,e03,c01,u003,Ross Geller,joy,"[['Hey', '.'], ['Oh', ',', 'oh', ',', 'how', ""'d"", 'it', 'go', '?']]","Hey. Oh, oh, how'd it go?"
trn,e03,c01,u004,Phoebe Buffay,sad,"[['Um', ',', 'not', 'so', 'good', '.'], ['He', 'walked', 'me', 'to', 'the', 'subway', 'and', 'said', ""'"", 'We', 'should', 'do', 'this', 'again', '!'], [""'""]]","Um, not so good. He walked me to the subway and said 'We should do this again!'"
trn,e03,c01,u005,#ALL#,sad,"[['Ohh', '.'], ['Ouch', '.']]",Ohh. Ouch.
trn,e03,c01,u006,Rachel Green,neutral,"[['What', '?'], ['He', 'said', ""'"", 'we', 'should', 'do', 'it', 'again', ""'"", ',', 'that', ""'s"", 'good', ',', 'right', '?']]","What? He said 'we should do it again', that's good, right?"
trn,e03,c01,u007,Monica Geller,neutral,"[['Uh', ',', 'no', '.'], ['Loosely', 'translated', ""'"", 'We', 'should', 'do', 'this', 'again', ""'"", 'means', ""'"", 'You', 'will', 'never', 'see', 'me', 'naked', ""'"", '.']]","Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'."
trn,e03,c01,u008,Rachel Green,neutral,"[['Since', 'when', '?']]",Since when?
